id,genre
103205,Drama
103210,Action
103210,Thriller
103210,Crime
103212,Thriller
103212,Foreign
103215,Documentary
103215,Foreign
10322,Comedy
10322,Drama
10323,Adventure
10323,Fantasy
10323,Family
103236,Action
10324,Comedy
10324,Romance
103243,Comedy
103243,Romance
10326,Adventure
10326,Fantasy
10326,Drama
10326,Science Fiction
10326,Romance
103260,TV Movie
103260,Comedy
103269,Animation
103269,Action
10327,Comedy
10328,Comedy
10328,Drama
10328,Science Fiction
10329,Action
10329,Adventure
10329,Drama
10329,Mystery
10329,Science Fiction
10329,Thriller
103299,Drama
103299,Action
103299,Thriller
103299,Crime
103299,Mystery
10330,Comedy
103301,Comedy
103307,Comedy
10331,Horror
103328,Drama
103328,Fantasy
10333,Drama
10333,Romance
103332,Comedy
103332,Romance
103332,Fantasy
103332,Drama
103344,Comedy
10336,Action
10336,Adventure
10336,Fantasy
10336,Horror
10336,Science Fiction
10336,Thriller
10337,Drama
10337,Crime
103370,Drama
103370,Comedy
103370,Crime
10338,Action
10338,Adventure
10338,Comedy
10339,Adventure
10339,Drama
103396,Drama
103396,Crime
10340,Family
10340,Animation
10341,Thriller
10341,Drama
10341,Science Fiction
10341,Action
103413,Drama
10342,Comedy
10342,Thriller
103425,Documentary
103432,TV Movie
103432,Thriller
103432,Crime
103432,Drama
103433,Horror
103433,Comedy
103433,Crime
10344,Horror
10344,Science Fiction
10344,Thriller
10345,Action
10345,Comedy
10345,Crime
10347,Action
10347,Crime
103475,Documentary
103475,Music
10348,Action
10348,Thriller
103488,Documentary
10349,Mystery
10349,Horror
10350,Action
10350,Science Fiction
103502,Drama
103502,Foreign
10351,Horror
103516,Drama
103516,Romance
103528,Documentary
10353,Comedy
10353,Fantasy
103539,Drama
103539,Foreign
10354,Crime
10354,Drama
10355,Action
10355,Adventure
10355,Drama
10355,Thriller
10356,Drama
10356,Thriller
10357,Science Fiction
10357,Action
10357,Drama
10357,Thriller
103578,Horror
103578,Science Fiction
103578,Foreign
10358,Comedy
103590,Drama
103597,Drama
10360,Drama
10360,History
103601,Action
103601,Comedy
10361,Drama
10361,Horror
103612,Comedy
103612,Crime
103612,Family
103613,Comedy
103613,Drama
10362,Drama
10362,Romance
103620,Horror
10363,Crime
10363,Drama
10363,Thriller
103635,TV Movie
103635,Thriller
103635,Drama
103635,Mystery
10364,War
10364,Comedy
10364,Drama
103640,Drama
103640,Action
